,SVM,KStar,NaiveBayes,RandomSubspace,RandomForest,HoeffdingTree,NaiveBayes,AutoCorrelation,Dimensionality,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfClasses,NumberOfFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures
eye_movements,0.863694,0.804896,0.608989,0.665955,0.625617,0.73581,0.802521,0.7370827617741198,0.002560351133869788,23.605001760792703,349.45214278224876,3.0681436429144724,303.33834601175306,3.0,28.0,10.714285714285714,0.0,0.0,85.71428571428571,14.285714285714285
quake,0.523582,0.484867,0.499163,0.49965,0.507475,0.520975,0.537394,0.8041800643086809,0.0018365472910927456,2.688363927853376,35.8034940312213,0.9405572647035662,66.5195967175524,0.0,4.0,0.0,0.0,0.0,100.0,0.0
mu284,1.0,0.983932,0.936347,0.994966,0.958714,0.994297,0.999405,0.8268551236749117,0.035211267605633804,43.965019292525916,526.8478873239433,4.578383500465345,973.9329650551205,0.0,10.0,0.0,0.0,0.0,100.0,0.0
pm10,0.668043,0.486653,0.520701,0.488517,0.527383,0.584782,0.613517,0.014771242484969978,0.016,0.22170205710738167,59.92500381750001,-0.033192505896226104,38.02073485970477,0.0,8.0,0.0,0.0,0.0,100.0,0.0
SPECTF,0.973705,0.977248,0.831455,0.869664,0.859532,0.830543,0.930294,0.985632183908046,0.12893982808022922,5.782937715235988,65.03223495702005,-1.8210042360503846,9.312904725278703,2.0,45.0,2.2222222222222223,0.0,0.0,97.77777777777777,2.2222222222222223
arrhythmia,0.875845,0.698689,0.720724,0.81467,0.793887,0.68954,0.859864,0.35476718403547675,0.6194690265486725,50.38865143126648,14.348604500020308,1.3270078171214814,9.970201091913465,13.0,280.0,26.071428571428573,84.95575221238938,0.3223767383059419,73.57142857142858,26.42857142857143
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001,0.678621,0.508702,0.478625,0.486721,0.482695,0.654567,0.61288,0.9993746091307066,0.013125,,,,,2.0,21.0,9.523809523809524,0.0,0.0,0.0,100.0
sonar,0.932665,0.884415,0.801802,0.865654,0.78736,0.914182,0.864122,0.9951690821256038,0.2932692307692308,2.2767766937181766,0.28132129006410256,0.9672196487827535,0.14223782700500703,2.0,61.0,1.639344262295082,0.0,0.0,98.36065573770492,1.639344262295082
bank-marketing,0.90629,0.852969,0.71751,0.628263,0.8483,0.719155,0.890414,0.8430878124308782,0.0003760146866912919,673.0300915847718,245.8171083522661,8.806191925400729,489.5378696495152,2.0,17.0,23.52941176470588,0.0,0.0,41.17647058823529,58.82352941176471
fri_c2_500_10,0.97907,0.972551,0.7409973204365727,0.791974,0.750098,0.789605,0.923061,-0.11550001540681405,0.022,-0.9569272304070873,8.195455355971981e-11,0.04714906419946629,0.9999999996969955,0.0,11.0,0.0,0.0,0.0,100.0,0.0
blogger,0.896829,0.830882,0.582721,0.805377,0.779642,0.7608,0.741268,0.5959595959595959,0.06,,,,,2.0,6.0,50.0,0.0,0.0,0.0,100.0
monks-problems-3,0.990353,0.986039,0.979787,0.988409,0.978116,0.987997,0.974409,0.7703435804701627,0.01263537906137184,,,,,2.0,7.0,42.857142857142854,0.0,0.0,0.0,100.0
breast-tissue,0.824798,0.772487,0.792603,0.756131,0.783582,0.772397,0.773855,0.9523809523809523,0.09433962264150944,-1.1916846007724238,51.585953878406706,0.01833304477052036,29.72747790834401,6.0,10.0,0.0,0.0,0.0,90.0,10.0
vehicle,0.931236,0.869,0.774362,0.889447,0.777937,0.904128,0.920002,0.2579881656804734,0.022458628841607566,5.153140516514768,117.6349487785658,1.0415777283622756,22.770839172096306,4.0,19.0,0.0,0.0,0.0,94.73684210526315,5.263157894736842
fri_c1_500_10,0.967355,0.965167,0.724307,0.70618,0.735062,0.799302,0.94058,-0.10833618218477048,0.022,-1.1056294564448812,-1.0047272699174247e-10,-0.050615556925828135,1.0000000001115235,0.0,11.0,0.0,0.0,0.0,100.0,0.0
satimage,0.992104,0.990563,0.919234,0.966895,0.921057,0.988675,0.98759,0.18743194898117904,0.0057542768273716955,-0.15411688047872,-0.0005560885260065659,0.04046023385100257,1.0000219953862926,6.0,37.0,0.0,0.0,0.0,97.2972972972973,2.7027027027027026
scene,0.952023,0.825383,0.49835,0.970714,0.784566,0.97602,0.973334,0.984621778886118,0.12463647694225176,8.186184057580444,0.30826851410285755,1.6899456006274212,0.18116487987168997,2.0,300.0,2.0,0.0,0.0,98.0,2.0
analcatdata_supreme,0.997937,0.99771,0.982341,0.987935,0.986001,0.998022,0.994461,0.9796642804245866,0.0019743336623889436,15.520822405257423,246.95938888203366,2.1112090108396266,1.6067564836872856,0.0,8.0,0.0,0.0,0.0,100.0,0.0
wind_correlations,0.956522,0.976285,0.922925,0.942688,0.948617,0.913043,0.912055,,1.0444444444444445,1.1184226154541985,2.9396430260047284,0.17201124636587142,0.2051594723366148,,47.0,0.0,0.0,0.0,100.0,0.0
